ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): Maine

School Name,State Name [Public School] Latest available year,Lowest Grade Offered [Public School] 2008-09,Highest Grade Offered [Public School] 2008-09,Total Students [Public School] 2008-09,Total Free and Reduced Lunch Students [Public School] 2008-09,Female Students [Public School] 2008-09,Male Students [Public School] 2008-09,State Name [Public School] 2008-09,Pupil/Teacher Ratio [Public School] 2008-09
RAYMOND ELEMENTARY SCHOOL,Maine,Kindergarten,4th Grade,256,65,126,130,MAINE,12.10
READFIELD ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,202,66,101,101,MAINE,11.50
REEDS BROOK MIDDLE SCHOOL,Maine,6th Grade,8th Grade,376,59,172,204,MAINE,12.50
REGION TWO SCH OF APPLIED TECH,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
RICHMOND HIGH SCHOOL,Maine,9th Grade,12th Grade,142,38,67,75,MAINE,10.60
RICHMOND MIDDLE SCHOOL,Maine,6th Grade,8th Grade,116,47,65,51,MAINE,10.70
RIVER VIEW COMMUNITY SCHOOL,Maine,Kindergarten,5th Grade,197,113,92,105,MAINE,13.20
RIVERTON SCHOOL,Maine,Prekindergarten,5th Grade,445,296,216,229,MAINE,12.50
ROBBINSTON GRADE SCHOOL,Maine,Kindergarten,8th Grade,70,45,26,44,MAINE,14.60
ROBERT W TRAIP ACADEMY,Maine,9th Grade,12th Grade,310,78,160,150,MAINE,10.00
ROCKLAND DISTRICT HIGH SCHOOL,Maine,9th Grade,12th Grade,441,180,208,233,MAINE,12.30
ROCKLAND DISTRICT MIDDLE SCHOOL,Maine,6th Grade,8th Grade,304,136,152,152,MAINE,10.70
ROCKWOOD ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,2,="0",2,="0",MAINE,2.00
ROSE M GAFFNEY SCHOOL,Maine,Prekindergarten,8th Grade,314,183,147,167,MAINE,10.80
RUMFORD ELEMENTARY,Maine,Prekindergarten,5th Grade,255,182,109,146,MAINE,8.90
RUSSELL SCHOOL,Maine,Prekindergarten,5th Grade,289,81,129,160,MAINE,13.30
SABATTUS CENTRAL SCHOOL,Maine,3rd Grade,8th Grade,342,96,154,188,MAINE,13.20
SABATTUS PRIMARY SCHOOL,Maine,Kindergarten,8th Grade,147,46,59,88,MAINE,11.10
SACCARAPPA SCHOOL,Maine,Prekindergarten,2nd Grade,249,150,121,128,MAINE,12.10
SACO MIDDLE SCHOOL,Maine,6th Grade,8th Grade,748,187,343,405,MAINE,13.40
SACO TRANSITION PROGRAM,Maine,9th Grade,12th Grade,32,15,9,23,MAINE,10.70
SACOPEE VALLEY HIGH SCH,Maine,8th Grade,12th Grade,416,161,187,229,MAINE,10.60
SACOPEE VALLEY MIDDLE SCHOOL,Maine,5th Grade,8th Grade,404,188,186,218,MAINE,14.50
SAD #53 ALTERNATIVE EDUCATION,Maine,7th Grade,12th Grade,17,4,9,8,MAINE,17.00
SAD 70 HODGDON HIGH SCHOOL,Maine,9th Grade,12th Grade,178,90,92,86,MAINE,9.10
SAMUEL D HANSON SCHOOL,Maine,4th Grade,5th Grade,99,36,43,56,MAINE,16.00
SAMUEL L WAGNER MIDDLE SCHOOL,Maine,6th Grade,8th Grade,140,56,56,84,MAINE,7.80
SANFORD HIGH SCHOOL,Maine,9th Grade,12th Grade,1317,493,655,662,MAINE,14.50
SANFORD JR HIGH SCHOOL,Maine,7th Grade,8th Grade,508,235,250,258,MAINE,11.50
SANFORD REGIONAL TECHNICAL CENTER,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
SCARBOROUGH HIGH SCHOOL,Maine,9th Grade,12th Grade,1065,151,544,521,MAINE,14.50
SCARBOROUGH MIDDLE SCHOOL,Maine,6th Grade,8th Grade,807,90,401,406,MAINE,11.90
SCHENCK HIGH SCHOOL,Maine,9th Grade,12th Grade,186,98,91,95,MAINE,10.90
SCHOOL OF APPLIED TECH-REGION 9,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
SE DO MO CHA ELEMENTARY SCHOOL,Maine,Kindergarten,4th Grade,293,139,149,144,MAINE,11.30
SE DO MO CHA MIDDLE SCHOOL,Maine,5th Grade,8th Grade,337,167,159,178,MAINE,12.60
SEA ROAD SCHOOL,Maine,4th Grade,6th Grade,232,33,120,112,MAINE,13.30
SEARSPORT DISTRICT HIGH SCHOOL,Maine,9th Grade,12th Grade,226,109,121,105,MAINE,10.20
SEARSPORT DISTRICT MIDDLE SCHOOL,Maine,6th Grade,8th Grade,155,99,75,80,MAINE,10.70
SEARSPORT ELEMENTARY,Maine,Prekindergarten,5th Grade,202,112,90,112,MAINE,13.00
SEBAGO ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,107,46,46,61,MAINE,10.70
SEBASTICOOK VALLEY MIDDLE SCHOOL,Maine,5th Grade,8th Grade,346,187,165,181,MAINE,14.70
SEDGWICK ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,103,54,53,50,MAINE,11.40
SHAPLEIGH MEMORIAL SCHOOL,Maine,Kindergarten,6th Grade,185,57,83,102,MAINE,12.50
SHAPLEIGH SCHOOL,Maine,6th Grade,8th Grade,223,65,111,112,MAINE,11.70
SHEAD HIGH SCHOOL,Maine,9th Grade,12th Grade,138,89,63,75,MAINE,10.70
SHERWOOD HEIGHTS ELEMENTARY SCH,Maine,Prekindergarten,6th Grade,437,226,212,225,MAINE,12.60
SHIRLEY ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,5,2,1,4,MAINE,10.00
SKOWHEGAN AREA HIGH SCHOOL,Maine,9th Grade,12th Grade,925,414,411,514,MAINE,13.60
SKOWHEGAN AREA MIDDLE SCHOOL,Maine,7th Grade,8th Grade,428,220,223,205,MAINE,12.60
SKYWAY EDUCATION LEARNING CENTER,Maine,Prekindergarten,Kindergarten,68,22,30,38,MAINE,34.00
SO AROOSTOOK CSD SCHOOL,Maine,Prekindergarten,12th Grade,415,281,204,211,MAINE,13.10
SOLON ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,78,54,34,44,MAINE,13.20
SOMERSET CAREER & TECHNICAL CENTER,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
SOMERSET VALLEY MIDDLE SCHOOL,Maine,5th Grade,8th Grade,260,173,123,137,MAINE,12.60
SOMERVILLE ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,42,30,19,23,MAINE,7.80
SONGO LOCKS SCHOOL,Maine,Kindergarten,3rd Grade,320,127,159,161,MAINE,10.40
SOUTH BRISTOL ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,70,26,37,33,MAINE,9.60
SOUTH HIRAM ELEMENTARY SCHOOL,Maine,Kindergarten,4th Grade,207,101,111,96,MAINE,13.10
SOUTH PORTLAND HIGH SCHOOL,Maine,9th Grade,12th Grade,913,261,405,508,MAINE,11.50
SOUTH SCHOOL,Maine,2nd Grade,5th Grade,231,146,121,110,MAINE,10.90
SOUTHPORT CENTRAL SCHOOL,Maine,Kindergarten,6th Grade,33,4,18,15,MAINE,10.60
ST ALBANS CONSOLIDATED,Maine,Prekindergarten,5th Grade,105,78,49,56,MAINE,14.20
ST CROIX REGIONAL TECHNICAL CENTER,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
ST FRANCIS ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,67,40,40,27,MAINE,10.00
ST GEORGE SCHOOL,Maine,Kindergarten,8th Grade,206,81,89,117,MAINE,9.90
ST JOHN VALLEY TECHNOLOGY CENTER,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
STARKS ELEMENTARY SCHOOL,Maine,Prekindergarten,4th Grade,25,19,11,14,MAINE,9.30
STATE STREET SCHOOL,Maine,4th Grade,5th Grade,188,65,84,104,MAINE,15.20
STEARNS HIGH SCHOOL,Maine,9th Grade,12th Grade,223,107,105,118,MAINE,12.00
STEEP FALLS ELEMENTARY SCHOOL,Maine,Kindergarten,3rd Grade,121,53,60,61,MAINE,11.90
STETSON ELEMENTARY SCHOOL,Maine,Kindergarten,4th Grade,52,21,27,25,MAINE,14.10
STEVENS BROOK SCHOOL,Maine,Kindergarten,5th Grade,303,178,139,164,MAINE,10.20
STOCKTON SPRINGS ELEMENTARY SCH,Maine,Kindergarten,5th Grade,77,39,35,42,MAINE,11.70
STRATTON ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,97,39,45,52,MAINE,7.70
STRONG ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,179,106,75,104,MAINE,11.10
SUMNER MEMORIAL HIGH SCHOOL,Maine,9th Grade,12th Grade,297,90,134,163,MAINE,9.30
SURRY ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,101,40,49,52,MAINE,7.60
SUZANNE M SMITH ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,224,93,105,119,MAINE,13.20
SWANS ISLAND ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,31,13,14,17,MAINE,7.20
SYLVIO J GILBERT SCHOOL,Maine,Prekindergarten,6th Grade,353,251,170,183,MAINE,13.10
T W KELLY DIRIGO MIDDLE SCHOOL,Maine,5th Grade,8th Grade,245,110,119,126,MAINE,11.10
TEAGUE PARK SCHOOL,Maine,Prekindergarten,4th Grade,242,114,121,121,MAINE,11.90
TELSTAR HIGH SCHOOL,Maine,9th Grade,12th Grade,291,115,136,155,MAINE,13.50
TELSTAR MIDDLE SCHOOL,Maine,6th Grade,8th Grade,214,111,112,102,MAINE,11.60
TERESA C HAMLIN ELEM SCHOOL,Maine,Kindergarten,5th Grade,99,55,50,49,MAINE,10.40
THOMAS J MCMAHON ELEMENTARY SCH,Maine,Kindergarten,6th Grade,467,250,207,260,MAINE,13.60
THOMASTON GRAMMAR SCHOOL,Maine,5th Grade,8th Grade,194,83,102,92,MAINE,10.30
TREMONT CONSOLIDATED SCHOOL,Maine,Kindergarten,8th Grade,132,48,53,79,MAINE,8.40
TRENTON ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,126,56,56,70,MAINE,7.90
TRI-COUNTY TECHNICAL CENTER,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
TRIPP MIDDLE SCHOOL,Maine,7th Grade,8th Grade,332,106,153,179,MAINE,11.70
TROY A HOWARD MIDDLE SCHOOL,Maine,6th Grade,8th Grade,400,194,186,214,MAINE,9.00
TROY CENTRAL SCHOOL,Maine,Kindergarten,6th Grade,109,65,56,53,MAINE,12.40
TURNER ELEMENTARY SCHOOL,Maine,4th Grade,6th Grade,221,78,106,115,MAINE,12.80
TURNER PRIMARY SCHOOL,Maine,Prekindergarten,3rd Grade,277,80,136,141,MAINE,12.90
UNION ELEMENTARY,Maine,Kindergarten,8th Grade,138,65,70,68,MAINE,10.80
UNITED TECHNOLOGIES CTR-REGION 4,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
UNITY ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,112,83,49,63,MAINE,12.20
UPPER KENNEBEC VALLEY SENIOR HS,Maine,7th Grade,12th Grade,85,50,47,38,MAINE,7.10
VAN BUREN DISTRICT SECONDARY SCH,Maine,7th Grade,12th Grade,140,81,68,72,MAINE,9.90
VAN BUREN ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,227,121,103,124,MAINE,13.80
VAN BUREN REGIONAL TECHNOLOGY CTR,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
VANCEBORO ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,20,16,9,11,MAINE,10.00
VASSALBORO COMMUNITY SCHOOL,Maine,Kindergarten,8th Grade,500,184,239,261,MAINE,12.30
VEAZIE COMMUNITY SCHOOL,Maine,Kindergarten,8th Grade,161,36,78,83,MAINE,9.00
VICKERY SCHOOL,Maine,1st Grade,4th Grade,241,123,124,117,MAINE,14.30
VILLAGE ELEMENTARY SCHOOL-GORHAM,Maine,3rd Grade,6th Grade,601,127,301,300,MAINE,14.70
VILLAGE ELEMENTARY SCHOOL-YORK,Maine,Kindergarten,4th Grade,329,31,155,174,MAINE,11.50
VINALHAVEN SCHOOL,Maine,Kindergarten,12th Grade,193,57,90,103,MAINE,9.20
VINE STREET SCHOOL,Maine,Prekindergarten,3rd Grade,258,149,118,140,MAINE,11.70
VIOLA RAND SCHOOL,Maine,Kindergarten,5th Grade,93,34,40,53,MAINE,10.00
VIVIAN E HUSSEY PRIMARY,Maine,Kindergarten,4th Grade,455,142,222,233,MAINE,13.00
W G MALLETT SCHOOL,Maine,Prekindergarten,3rd Grade,321,162,156,165,MAINE,11.10
WALDO COUNTY TECH CTR-REGION 7,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
WALDO T SKILLIN ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,402,179,203,199,MAINE,13.00
WALES CENTRAL SCHOOL,Maine,Kindergarten,8th Grade,170,64,87,83,MAINE,12.10
WALKER MEMORIAL SCHOOL,Maine,Kindergarten,6th Grade,121,84,59,62,MAINE,10.60
WALLAGRASS ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,87,36,46,41,MAINE,11.40
WALTON SCHOOL,Maine,Kindergarten,6th Grade,236,152,111,125,MAINE,11.90
WARREN COMMUNITY SCHOOL,Maine,Kindergarten,6th Grade,329,174,146,183,MAINE,10.40
WARSAW MIDDLE SCHOOL,Maine,5th Grade,8th Grade,328,186,162,166,MAINE,13.20
WASHBURN DISTRICT ELEM SCHOOL,Maine,Prekindergarten,8th Grade,274,143,150,124,MAINE,12.90
WASHBURN DISTRICT HIGH SCHOOL,Maine,9th Grade,12th Grade,109,46,47,62,MAINE,11.70
WASHBURN SCHOOL,Maine,Kindergarten,6th Grade,241,151,114,127,MAINE,12.10
WASHINGTON STREET SCHOOL BLDG,Maine,1st Grade,3rd Grade,340,119,174,166,MAINE,14.20
WATERBORO ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,673,275,312,361,MAINE,15.30
WATERFORD MEMORIAL SCHOOL,Maine,Kindergarten,6th Grade,115,65,60,55,MAINE,10.70
WATERVILLE JUNIOR HIGH SCHOOL,Maine,6th Grade,8th Grade,414,208,200,214,MAINE,10.50
WATERVILLE SENIOR HIGH SCHOOL,Maine,9th Grade,12th Grade,613,271,312,301,MAINE,12.60
WAYNE ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,59,14,33,26,MAINE,10.20
WELLINGTON SCHOOL,Maine,Prekindergarten,4th Grade,72,53,32,40,MAINE,16.00
WELLS ELEMENTARY SCHOOL,Maine,Kindergarten,4th Grade,520,83,255,265,MAINE,12.20
WELLS HIGH SCHOOL,Maine,9th Grade,12th Grade,485,82,241,244,MAINE,12.20
WELLS JUNIOR HIGH SCHOOL,Maine,5th Grade,8th Grade,439,94,214,225,MAINE,10.60
WESLEY ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,7,1,3,4,MAINE,7.00
WEST BATH SCHOOL,Maine,Kindergarten,6th Grade,108,38,50,58,MAINE,9.20
WEST HARPSWELL ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,74,29,51,23,MAINE,10.00
WESTBROOK HIGH SCHOOL,Maine,9th Grade,12th Grade,777,281,347,430,MAINE,14.30
WESTBROOK MIDDLE SCHOOL,Maine,6th Grade,8th Grade,559,256,277,282,MAINE,10.70
WESTBROOK REGIONAL TECHNOLOGY CTR,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
WHITE ROCK SCHOOL,Maine,Kindergarten,3rd Grade,138,21,65,73,MAINE,13.50
WHITEFIELD ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,192,70,91,101,MAINE,11.00
WHITING VILLAGE SCHOOL,Maine,Prekindergarten,8th Grade,38,22,13,25,MAINE,12.70
WILLARD SCHOOL,Maine,4th Grade,6th Grade,448,260,222,226,MAINE,12.70
WILLIAM H ROWE SCHOOL,Maine,Kindergarten,1st Grade,173,="0",85,88,MAINE,15.00
WILLIAM S. COHEN SCHOOL,Maine,6th Grade,8th Grade,384,119,181,203,MAINE,12.20
WILLIAMS ELEMENTARY SCHOOL,Maine,1st Grade,8th Grade,229,100,107,122,MAINE,15.40
WILLIAMS-CONE SCHOOL,Maine,Kindergarten,6th Grade,242,49,109,133,MAINE,13.20
WINDHAM HIGH SCHOOL,Maine,9th Grade,12th Grade,1050,188,502,548,MAINE,12.60
WINDHAM MIDDLE SCHOOL,Maine,6th Grade,8th Grade,629,138,271,358,MAINE,11.70
WINDHAM PRIMARY SCHOOL,Maine,Kindergarten,3rd Grade,798,354,387,411,MAINE,16.70
WINDSOR ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,265,107,128,137,MAINE,11.40
WINSLOW ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,598,235,280,318,MAINE,13.40
WINSLOW HIGH SCHOOL,Maine,9th Grade,12th Grade,512,154,228,284,MAINE,11.90
WINSLOW JUNIOR HIGH SCHOOL,Maine,6th Grade,8th Grade,279,92,135,144,MAINE,10.30
WINTHROP GRADE SCHOOL,Maine,Prekindergarten,5th Grade,411,133,203,208,MAINE,13.70
WINTHROP HIGH SCHOOL,Maine,9th Grade,12th Grade,267,78,120,147,MAINE,10.60
WINTHROP MIDDLE SCHOOL,Maine,6th Grade,8th Grade,197,67,79,118,MAINE,11.20
WISCASSET HIGH SCHOOL,Maine,9th Grade,12th Grade,247,94,106,141,MAINE,9.10
WISCASSET MIDDLE SCHOOL,Maine,5th Grade,8th Grade,184,80,80,104,MAINE,10.80
WISCASSET PRIMARY SCHOOL,Maine,Prekindergarten,5th Grade,244,119,120,124,MAINE,12.80
WISDOM MIDDLE HIGH SCHOOL,Maine,7th Grade,12th Grade,128,47,58,70,MAINE,10.30
WOODLAND CONSOLIDATED SCH,Maine,Prekindergarten,8th Grade,138,65,71,67,MAINE,10.90
WOODLAND ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,149,88,76,73,MAINE,12.50
WOODLAND JR-SR HIGH SCHOOL,Maine,7th Grade,12th Grade,250,107,122,128,MAINE,13.10
WOODSIDE ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,400,121,206,194,MAINE,11.00
WOODSTOCK SCHOOL,Maine,Kindergarten,5th Grade,82,42,41,41,MAINE,10.50
WOOLWICH CENTRAL SCHOOL,Maine,Kindergarten,8th Grade,271,66,139,132,MAINE,10.90
YARMOUTH ELEMENTARY SCHOOL,Maine,2nd Grade,4th Grade,298,6,156,142,MAINE,13.00
YARMOUTH HIGH SCHOOL,Maine,9th Grade,12th Grade,468,17,223,245,MAINE,11.20
YORK HIGH SCHOOL,Maine,9th Grade,12th Grade,616,69,304,312,MAINE,11.70
YORK MIDDLE SCHOOL,Maine,5th Grade,8th Grade,623,61,290,333,MAINE,12.50
YOUNG SCHOOL,Maine,Kindergarten,2nd Grade,300,56,150,150,MAINE,13.90
Totals:,n/a,n/a,n/a,187484,71407,90359,97125,n/a,n/a

Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Public Elementary/Secondary School Universe Survey" 2008-09 v.1b  2010-11 v.2a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
