ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): Maine

School Name,State Name [Public School] Latest available year,Lowest Grade Offered [Public School] 2008-09,Highest Grade Offered [Public School] 2008-09,Total Students [Public School] 2008-09,Total Free and Reduced Lunch Students [Public School] 2008-09,Female Students [Public School] 2008-09,Male Students [Public School] 2008-09,State Name [Public School] 2008-09,Pupil/Teacher Ratio [Public School] 2008-09
CONY HIGH SCHOOL,Maine,9th Grade,12th Grade,948,352,450,498,MAINE,15.00
CORINNA ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,172,104,94,78,MAINE,10.40
CORNISH ELEMENTARY SCHOOL,Maine,Kindergarten,4th Grade,71,25,39,32,MAINE,11.80
CORNVILLE ELEMENTARY SCHOOL,Maine,Kindergarten,6th Grade,97,45,49,48,MAINE,12.90
CRESCENT PARK SCHOOL,Maine,Kindergarten,5th Grade,295,131,155,140,MAINE,12.30
CROOKED RIVER ELEMENTARY,Maine,4th Grade,5th Grade,155,81,79,76,MAINE,9.10
CUSHING COMMUNITY SCHOOL,Maine,Kindergarten,4th Grade,73,29,37,36,MAINE,10.60
D W LUNT SCHOOL,Maine,Kindergarten,2nd Grade,407,11,191,216,MAINE,12.60
DANIEL F. MAHONEY MIDDLE SCHOOL,Maine,6th Grade,8th Grade,318,93,146,172,MAINE,11.00
DANIEL W MERRITT SCHOOL,Maine,Kindergarten,8th Grade,101,63,49,52,MAINE,10.20
DAWN F BARNES ELEMENTARY SCH,Maine,Prekindergarten,8th Grade,37,28,16,21,MAINE,6.10
DAYTON CONSOLIDATED SCHOOL,Maine,Kindergarten,6th Grade,165,26,67,98,MAINE,12.50
DEDHAM SCHOOL,Maine,Prekindergarten,8th Grade,178,35,89,89,MAINE,11.60
DEER ISLE-STONINGTON ELEMENTARY SCH,Maine,Kindergarten,8th Grade,225,73,106,119,MAINE,8.30
DEER ISLE-STONINGTON HIGH SCH,Maine,7th Grade,12th Grade,167,53,83,84,MAINE,9.80
DEERING HIGH SCHOOL,Maine,9th Grade,12th Grade,1166,385,554,612,MAINE,14.20
DENMARK ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,111,55,50,61,MAINE,11.40
DEXTER MIDDLE SCHOOL,Maine,5th Grade,8th Grade,288,183,144,144,MAINE,11.30
DEXTER PRIMARY SCHOOL,Maine,Kindergarten,4th Grade,254,168,128,126,MAINE,9.50
DEXTER REGIONAL HIGH SCHOOL,Maine,9th Grade,12th Grade,299,162,142,157,MAINE,13.00
DIKE-NEWELL SCHOOL,Maine,Kindergarten,2nd Grade,271,152,136,135,MAINE,11.20
DIRIGO ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,372,199,177,195,MAINE,12.80
DIRIGO HIGH SCHOOL,Maine,9th Grade,12th Grade,337,138,168,169,MAINE,13.30
DORA L SMALL ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,296,80,141,155,MAINE,15.70
DOWNEAST SCHOOL,Maine,Prekindergarten,3rd Grade,294,233,125,169,MAINE,10.40
DR CARL E TROUTT SCHOOL,Maine,Prekindergarten,5th Grade,48,32,22,26,MAINE,7.30
DR CHARLES C KNOWLTON SCHOOL,Maine,Kindergarten,2nd Grade,250,98,111,139,MAINE,9.80
DR LEVESQUE ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,159,72,69,90,MAINE,12.00
DR LEWIS S LIBBY SCHOOL,Maine,Kindergarten,8th Grade,292,163,154,138,MAINE,10.50
DRESDEN ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,105,32,46,59,MAINE,10.70
DROWNE ROAD SCHOOL,Maine,3rd Grade,6th Grade,143,17,74,69,MAINE,13.90
